ROWID,Calendar Day,Type of power generation,Monitored capacity,Capacity under long outage,New capacity under stabilization or completion of balance works,Capacity of power generation from prime movers (pm),Capacity of power generation from fuel oil (fo),Capacity of power generation from other sources,Total capacity of power generation from all sources,Capacity outage as percent of monitered,Operational capacity of power generation,Gross sum of maximum power generated,Net sum of maximum power generated,Maximum power output as percentage of capacity on line,Percentage of monitered maximum power output
8633,2017-09-30,Hydro,44765.42,1098.9,,801.15,1429.0,1627.0,3857.15,8.62,40908.27,29487.5,29192.62,71.36,65.21
8651,2017-10-01,Hydro,44765.42,1098.9,,801.15,1594.0,1367.5,3762.65,8.41,41002.77,28054.56,27774.01,67.74,62.04
6721,2017-10-01,Thermal_Gas Liquid,25130.88,3472.3,,0.0,80.0,8729.16,8809.16,35.05,16321.72,10384.11,10176.43,62.35,40.49
3034,2017-10-01,Nuclear,6780.0,540.0,,1140.0,1100.0,0.0,2240.0,33.04,4540.0,5105.79,4518.62,99.53,66.65
9138,2017-10-01,Thermal_Coal Lignite,193426.5,5814.0,12690.0,8324.0,52600.5,0.0,60924.5,31.5,132502.0,136644.8,124346.77,93.85,64.29
1995,2017-10-01,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
1996,2017-10-03,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
3035,2017-10-03,Nuclear,6780.0,540.0,,1140.0,1100.0,0.0,2240.0,33.04,4540.0,4891.79,4329.23,95.36,63.85
8657,2017-10-03,Hydro,44765.42,1098.9,,801.15,1506.0,1417.5,3724.65,8.32,41040.77,33061.76,32731.14,79.75,73.12
9153,2017-10-03,Thermal_Coal Lignite,193426.5,6014.0,12690.0,8714.0,51898.0,0.0,60612.0,31.34,132814.5,140654.63,127995.71,96.37,66.17
6720,2017-10-03,Thermal_Gas Liquid,25130.88,3472.3,,0.0,80.0,8803.56,8883.56,35.35,16247.32,11652.53,11419.48,70.29,45.44
9213,2017-10-04,Thermal_Coal Lignite,193426.5,5329.0,12690.0,8939.0,50665.5,0.0,59604.5,30.82,133822.0,140486.14,127842.39,95.53,66.09
6710,2017-10-04,Thermal_Gas Liquid,25130.88,3472.3,,0.0,80.0,8963.16,9043.16,35.98,16087.72,11631.91,11399.27,70.86,45.36
1997,2017-10-04,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
8678,2017-10-04,Hydro,44765.42,1098.9,,801.15,1516.0,1206.17,3523.32,7.87,41242.1,33796.5,33458.53,81.13,74.74
3036,2017-10-04,Nuclear,6780.0,540.0,,1140.0,1100.0,0.0,2240.0,33.04,4540.0,4962.79,4392.07,96.74,64.78
1998,2017-10-05,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
6663,2017-10-05,Thermal_Gas Liquid,25130.88,3472.3,,0.0,80.0,9203.66,9283.66,36.94,15847.22,11315.75,11089.43,69.98,44.13
3037,2017-10-05,Nuclear,6780.0,540.0,,1140.0,1100.0,0.0,2240.0,33.04,4540.0,4961.79,4391.18,96.72,64.77
8694,2017-10-05,Hydro,44765.42,1098.9,,851.15,1351.0,1103.5,3305.65,7.38,41459.77,33060.16,32729.56,78.94,73.11
9372,2017-10-05,Thermal_Coal Lignite,193426.5,5329.0,12690.0,8939.0,47910.5,0.0,56849.5,29.39,136577.0,144394.92,131399.38,96.21,67.93
